パラメータ,セグメント,セグメントID,方向,目的関数,基準値,変動後,変動額,変動率(%)
到達率,超富裕層,S1,+20%,売上,136242000.0,148035600.0,11793600.0,8.656361474435197
到達率,超富裕層,S1,+20%,粗利,55432075.0,60823435.0,5391360.0,9.726065639794289
到達率,超富裕層,S1,+20%,LTV,130673250.0,144151650.0,13478400.0,10.31458236479157
到達率,超富裕層,S1,-20%,売上,136242000.0,124448400.0,-11793600.0,-8.656361474435197
到達率,超富裕層,S1,-20%,粗利,55432075.0,50040715.0,-5391360.0,-9.726065639794289
到達率,超富裕層,S1,-20%,LTV,130673250.0,117194850.0,-13478400.0,-10.31458236479157
到達率,富裕層,S2,+20%,売上,136242000.0,146448000.0,10206000.0,7.491082045184304
到達率,富裕層,S2,+20%,粗利,55432075.0,59925550.0,4493475.0,8.106272406364006
到達率,富裕層,S2,+20%,LTV,130673250.0,139660200.0,8986950.0,6.877421354408803
到達率,富裕層,S2,-20%,売上,136242000.0,126036000.0,-10206000.0,-7.491082045184304
到達率,富裕層,S2,-20%,粗利,55432075.0,50938600.0,-4493475.0,-8.106272406364006
到達率,富裕層,S2,-20%,LTV,130673250.0,121686300.0,-8986950.0,-6.877421354408803
到達率,準富裕層,S3,+20%,売上,136242000.0,141490800.0,5248800.0,3.8525564803804992
到達率,準富裕層,S3,+20%,粗利,55432075.0,57633655.0,2201580.0,3.97167163596167
到達率,準富裕層,S3,+20%,LTV,130673250.0,134342550.0,3669300.0,2.807996280799628
到達率,準富裕層,S3,-20%,売上,136242000.0,130993200.0,-5248800.0,-3.8525564803804992
到達率,準富裕層,S3,-20%,粗利,55432075.0,53230495.0,-2201580.0,-3.97167163596167
到達率,準富裕層,S3,-20%,LTV,130673250.0,127003950.0,-3669300.0,-2.807996280799628
転換率,超富裕層,S1,+20%,売上,136242000.0,148035600.0,11793600.0,8.656361474435197
転換率,超富裕層,S1,+20%,粗利,55432075.0,60823435.0,5391360.0,9.726065639794289
転換率,超富裕層,S1,+20%,LTV,130673250.0,144151650.0,13478400.0,10.31458236479157
転換率,超富裕層,S1,-20%,売上,136242000.0,124448400.0,-11793600.0,-8.656361474435197
転換率,超富裕層,S1,-20%,粗利,55432075.0,50040715.0,-5391360.0,-9.726065639794289
転換率,超富裕層,S1,-20%,LTV,130673250.0,117194850.0,-13478400.0,-10.31458236479157
転換率,富裕層,S2,+20%,売上,136242000.0,146448000.0,10206000.0,7.491082045184304
転換率,富裕層,S2,+20%,粗利,55432075.0,59925550.0,4493475.0,8.106272406364006
転換率,富裕層,S2,+20%,LTV,130673250.0,139660200.0,8986950.0,6.877421354408803
転換率,富裕層,S2,-20%,売上,136242000.0,126036000.0,-10206000.0,-7.491082045184304
転換率,富裕層,S2,-20%,粗利,55432075.0,50938600.0,-4493475.0,-8.106272406364006
転換率,富裕層,S2,-20%,LTV,130673250.0,121686300.0,-8986950.0,-6.877421354408803
転換率,準富裕層,S3,+20%,売上,136242000.0,141490800.0,5248800.0,3.8525564803804992
転換率,準富裕層,S3,+20%,粗利,55432075.0,57633655.0,2201580.0,3.97167163596167
転換率,準富裕層,S3,+20%,LTV,130673250.0,134342550.0,3669300.0,2.807996280799628
転換率,準富裕層,S3,-20%,売上,136242000.0,130993200.0,-5248800.0,-3.8525564803804992
転換率,準富裕層,S3,-20%,粗利,55432075.0,53230495.0,-2201580.0,-3.97167163596167
転換率,準富裕層,S3,-20%,LTV,130673250.0,127003950.0,-3669300.0,-2.807996280799628
購入頻度,超富裕層,S1,+20%,売上,136242000.0,148035600.0,11793600.0,8.656361474435197
購入頻度,超富裕層,S1,+20%,粗利,55432075.0,60823435.0,5391360.0,9.726065639794289
購入頻度,超富裕層,S1,+20%,LTV,130673250.0,144151650.0,13478400.0,10.31458236479157
購入頻度,超富裕層,S1,-20%,売上,136242000.0,124448400.0,-11793600.0,-8.656361474435197
購入頻度,超富裕層,S1,-20%,粗利,55432075.0,50040715.0,-5391360.0,-9.726065639794289
購入頻度,超富裕層,S1,-20%,LTV,130673250.0,117194850.0,-13478400.0,-10.31458236479157
購入頻度,富裕層,S2,+20%,売上,136242000.0,146448000.0,10206000.0,7.491082045184304
購入頻度,富裕層,S2,+20%,粗利,55432075.0,59925550.0,4493475.0,8.106272406364006
購入頻度,富裕層,S2,+20%,LTV,130673250.0,139660200.0,8986950.0,6.877421354408803
購入頻度,富裕層,S2,-20%,売上,136242000.0,126036000.0,-10206000.0,-7.491082045184304
購入頻度,富裕層,S2,-20%,粗利,55432075.0,50938600.0,-4493475.0,-8.106272406364006
購入頻度,富裕層,S2,-20%,LTV,130673250.0,121686300.0,-8986950.0,-6.877421354408803
購入頻度,準富裕層,S3,+20%,売上,136242000.0,141490800.0,5248800.0,3.8525564803804992
購入頻度,準富裕層,S3,+20%,粗利,55432075.0,57633655.0,2201580.0,3.97167163596167
購入頻度,準富裕層,S3,+20%,LTV,130673250.0,134342550.0,3669300.0,2.807996280799628
購入頻度,準富裕層,S3,-20%,売上,136242000.0,130993200.0,-5248800.0,-3.8525564803804992
購入頻度,準富裕層,S3,-20%,粗利,55432075.0,53230495.0,-2201580.0,-3.97167163596167
購入頻度,準富裕層,S3,-20%,LTV,130673250.0,127003950.0,-3669300.0,-2.807996280799628
継続率,超富裕層,S1,+20%,売上,136242000.0,136242000.0,0.0,0.0
継続率,超富裕層,S1,+20%,粗利,55432075.0,55432075.0,0.0,0.0
継続率,超富裕層,S1,+20%,LTV,130673250.0,159555535.7142857,28882285.7142857,22.102676495981928
継続率,超富裕層,S1,-20%,売上,136242000.0,136242000.0,0.0,0.0
継続率,超富裕層,S1,-20%,粗利,55432075.0,55432075.0,0.0,0.0
継続率,超富裕層,S1,-20%,LTV,130673250.0,115121250.0,-15552000.0,-11.90144119014412
継続率,富裕層,S2,+20%,売上,136242000.0,136242000.0,0.0,0.0
継続率,富裕層,S2,+20%,粗利,55432075.0,55432075.0,0.0,0.0
継続率,富裕層,S2,+20%,LTV,130673250.0,141906937.5,11233687.5,8.596776693011003
継続率,富裕層,S2,-20%,売上,136242000.0,136242000.0,0.0,0.0
継続率,富裕層,S2,-20%,粗利,55432075.0,55432075.0,0.0,0.0
継続率,富裕層,S2,-20%,LTV,130673250.0,123184125.0,-7489125.0,-5.7311844620073344
継続率,準富裕層,S3,+20%,売上,136242000.0,136242000.0,0.0,0.0
継続率,準富裕層,S3,+20%,粗利,55432075.0,55432075.0,0.0,0.0
継続率,準富裕層,S3,+20%,LTV,130673250.0,133495788.46153845,2822538.461538449,2.1599971390766273
継続率,準富裕層,S3,-20%,売上,136242000.0,136242000.0,0.0,0.0
継続率,準富裕層,S3,-20%,粗利,55432075.0,55432075.0,0.0,0.0
継続率,準富裕層,S3,-20%,LTV,130673250.0,128514838.23529412,-2158411.7647058815,-1.6517625181174274
